method,month,abs(var)
LightGBM_normal,6,4.1876
LightGBM_normal,6,12.622
LSTM,10,3.8711
LSTM,10,8.2946
LSTM,10,3.9251
LSTM,10,2.9927
LSTM,10,0.77572
LSTM,10,0.02593
LSTM,10,0.52682
LSTM,10,1.51
LSTM,10,1.174
LSTM,10,5.7678
LSTM,2,1.5912
LSTM,2,2.8046
LSTM,2,0.9528
LSTM,2,10.665
LSTM,2,3.9954
LSTM,2,0.17478
LSTM,2,3.8312
LSTM,2,22.807
LSTM,2,1.9128
LSTM,2,5.4668
LSTM,6,2.2171
LSTM,6,0.58379
LSTM,6,4.398
LSTM,6,6.8097
LSTM,6,16.266
LSTM,6,10.752
LSTM,6,9.2815
LSTM,6,5.7052
LSTM,6,4.2911
LSTM,6,5.8869
SARIMAX,10,8.0441
SARIMAX,10,1.2739
SARIMAX,10,6.0251
SARIMAX,10,10.892
SARIMAX,10,15.846
SARIMAX,10,5.7875
SARIMAX,10,25.405
SARIMAX,10,8.0217
SARIMAX,10,17.651
SARIMAX,10,12.21
SARIMAX,2,1.8843
SARIMAX,2,3.1823
SARIMAX,2,4.6305
SARIMAX,2,13.406
SARIMAX,2,6.1999
SARIMAX,2,5.3038
SARIMAX,2,11.443
SARIMAX,2,27.91
SARIMAX,2,7.2424
SARIMAX,2,9.5741
SARIMAX,6,6.0812
SARIMAX,6,0.38829
SARIMAX,6,7.7348
SARIMAX,6,9.4244
SARIMAX,6,23.521
SARIMAX,6,13.892
SARIMAX,6,18.968
SARIMAX,6,8.3228
SARIMAX,6,13.136
SARIMAX,6,15.584
